הוא צפה בסרט וראה חיה שצפה במים	hˈu tsˈafa besˈeʁet veʁaʔˈa χajˈe ʃetsˈafa bamˈajim
הוא רצה את זה גם, אבל היא רצה מהר והקדימה אותו	hˈi ʁatsˈa ʔˈet zˈe ɡˈam, ʔavˈel hˈi ʁatsˈa mehˈaʁ vehikdˈima ʔotˈo
בא תרד לאכול, יש בורקס עם תרד	vˈa teʁˈed leʔeχˈol, jˈeʃ buʁˈekas ʔˈam teʁˈed
אחרי שאתה אורז את המזוודה, תבוא לאכול אורז	ʔaχaʁˈaj ʃeʔatˈa ʔˈoʁez ʔˈet hamizvadˈa, tavˈo leʔeχˈol ʔˈoʁez
האם מותר לשתות בירה בעיר הבירה ירושלים?	haʔˈem mutˈaʁ liʃtˈot biʁˈa beʔˈiʁ habiʁˈa jeʁuʃalajˈim?
החיה הזו חיה הרבה מאוד שנים.	haχajˈa hazˈo χajˈe haʁbˈe meʔˈod ʃnˈajim.
גילה אמרה לי שהוא גילה לה את הסוד.	ɡilˈo ʔamʁˈa lˈi ʃehˈu ɡilˈo lˈe ʔˈat hasˈod.
הבוקר יצא לרעות את העדר מוקדם מאוד בבוקר.	habokˈeʁ jatsˈa laʁeʔˈut ʔˈat haʔˈedeʁ mukdˈam meʔˈod bevˈokeʁ.
הם לנו בשטח, כי לא נשאר לנו מקום בבית.	hˈem lanˈu baʃˈetaχ, kˈi lˈo niʃʔˈaʁ lanˈu makˈom babajˈit.
הוא צעד לעבר האופק, ובכל צעד הרגיש את כובד הדרך.	hˈu tsˈaʔad leʔˈeveʁ haʔˈofek, uvχˈol tsaʔˈad hiʁɡˈiʃ ʔˈat kˈoved hadaʁˈeχ.
טלגרם זו אפליקציה ממש נוחה לשימוש.	teleɡʁˈam zˈo ʔaplikˈatsja mamˈaʃ nˈoχa leʃimˈuʃ.
תוכל לכתוב לי בוואצאפ?	tuχˈal liχtˈov lˈi beovʔtsʔˈif?
מערך הסייבר הלאומי הוא גוף טכנולוגי בישראל.	meʔˈeʁeχ hasajbˈeʁ haleʔumˈi hˈu ɡˈuf teχnolˈoɡi bejisʁaʔˈel.
בכל כוס של קולה יש המון סוכר.	vakˈol kˈos ʃˈel kolˈa jˈeʃ hamˈon sukˈaʁ.
אילון מאסק הוא האיש הכי עשיר בעולם.	ʔajalˈon masˈek hˈi haʔˈiʃ haχˈi ʔaʃˈiʁ beʔolˈam.
בסטארטאפ שלנו יש דיילי כל יום שני וחמישי	bastaʔaaʁatʔif ʃelˈanu jˈeʃ dejlˈi χˈl jˈum ʃnˈej vaχamiʃˈi
שלחתי לך לינק חדש לטיקט שפתחתי בגיהטאב	ʃalˈaχti leχˈa linˈok χadˈeʃ lˈatiktˈ ʃepatˈaχti beɡihtˈʔbe
שמתי פלייליסט חדש בספוטיפיי ושיתפתי אותו באינסטגרם	sˈamti plajlˈist χadˈeʃ bespuatjpij veʃitˈafti ʔotˈo beʔinstaɡʁˈam
בוא נשים את זה בקובץ דוקס ונשתף את הצוות	bˈo naʃˈim ʔˈat zˈe bekˈovets doas unʃatˈef ʔˈat hatsˈevet
אנחנו רוצים לעלות לפרודקשן אחרי שנקבל עוד קצת אינפוט	ʔanˈaχnu ʁotsˈim laʔalˈot lifʁˈvedkˈʃn ʔaχaʁˈaj ʃenkabˈel ʔˈod ktsˈat ʔinpot
אני באמת דואג לך ותמיד כאן בשבילך אם תצטרכי עזרה.	ʔanˈi beʔemˈet doʔˈeɡ leχˈa vetamˈid kˈan biʃvilˈeχ ʔˈim titstaʁχˈi ʔezʁˈa.
אני שמח בשבילך ומקווה בשבילך שכל מה שתרצה יקרה	ʔanˈi samˈaχ biʃvilˈeχ umkavˈa biʃvilˈeχ ʃaχˈal mˈa ʃetiʁtsˈe jekaʁˈa
אני בא אליך אחר כך ונשאר אצלך קצת אם מתאים. מה אתה אומר?	ʔanˈi bˈo ʔelˈeχa ʔaχˈaʁ kˈaχ veniʃʔˈaʁ ʔetslˈeχ ktsˈat ʔˈem matʔˈim. mˈe ʔatˈa ʔomˈaʁ?
אני לומד ממך המון ומעריך ממך כל דבר קטן שאתה נותן	ʔanˈi lomˈed mimeχˈa hamˈon umaʔaʁˈiχ mimˈeχ χˈl dabˈeʁ katˈon ʃeʔatˈa notˈen
אני שמח בשבילך ומודה לך על כל מה שאתה עושה	ʔanˈi samˈaχ biʃvilˈeχ umodˈa leχˈa ʔˈal χˈol mˈa ʃeʔatˈa ʔosˈe
אני לומד ממך המון, אתה בן אדם חכם	ʔanˈi lomˈed mimˈeχ hamˈon, ʔatˈa bˈin ʔadˈam χaχˈam
אני שמח בשבילך, אחי	ʔanˈi samˈeaχ biʃvilˈeχ, ʔaχˈaj
אני מתכנן לבוא אלייך מחר ורציתי לדעת אם זה מתאים לך	ʔanˈi metaχnˈen lavˈo ʔelˈajiχ maχˈaʁ veʁatsˈiti ledˈaʔat ʔˈem zˈe matʔˈim leχˈa
אני עומד לצדך ורוצה לשמוע ממך שאתה לא לבד בזה	ʔanˈi ʔomˈed letsidˈeχ veʁotsˈe liʃmˈoa mimχˈa ʃeʔatˈa lˈa levˈad bazˈe
אני עומד לצדך ורוצה לשמוע ממך שאת לא לבד בזה	ʔanˈi ʔomˈed letsidˈeχ veʁotsˈe liʃmˈoa mimeχˈa ʃeʔˈet lˈo levˈad bazˈa
אוריה אמרה לי שהיא אוהבת לטייל בטבע.	ʔuʁijˈa ʔamʁˈa lˈi ʃehˈi ʔohˈevet letajˈel batˈeva.
תהל אמרה שהיא מנסה לעשות יותר הפסקות במהלך היום	tahˈel ʔamʁˈa ʃehˈi menasˈa laʔasˈot jotˈeʁ hafsakˈot bamahalˈaχ hajˈom
רננה סיפרה שהיא מתכננת טיול ארוך אחרי הלימודים	aʁnanh sipʁˈa ʃehˈi metaχnˈenet tijˈul ʔaʁˈoχ ʔaχaʁˈaj halimudˈim
אלירז אמר שהוא מנסה למצוא קצת יותר איזון בחיים	ʔeliʁˈaz ʔomˈeʁ ʃehˈu menasˈe limtsˈo ktsˈat jutˈaʁ ʔizˈun baχajˈim
ינאי כתב שהוא רוצה להתחיל משהו חדש השנה	janˈaj katˈav ʃehˈu ʁotsˈe lehatχˈil mˈaʃehu χadˈaʃ haʃanˈa
אושרה אמרה שהיא מנסה להיות יותר סבלנית עם עצמה	ʔuʃʁˈa ʔamʁˈa ʃehˈi menasˈe lihjˈot jotˈeʁ savlanˈit ʔˈam ʔotsmˈa
שלומי סיפר שהוא התחיל לעבוד על פרויקט חדש והוא מתלהב מזה	ʃlomˈi sipˈeʁ ʃehˈu hitχˈil laʔavˈod ʔˈal pʁojˈekt χadˈaʃ vehˈu mitlahˈev mezˈe
ידידה סיפרה שהיא התחילה ללמוד בטכניון ועברה לגור בחיפה	jedidˈa sipʁˈa ʃehˈi hitχˈila lilmˈod bateχnijˈon veʔavʁˈa laɡˈuʁ beχefˈa
מישהי בעבודה אמרה שהיא שוקלת לעבור לראשון לציון בשביל להיות קרובה למשפחה	mˈiʃehi baʔavodˈa ʔimʁˈa ʃehˈi ʃokˈelet laʔavˈoʁ laʁiʃˈon letsijˈun biʃvˈil lihjˈot kʁovˈa lemiʃpaχˈa
אחד מהחברים אמר שהוא חוזר לגור בעפולה אחרי כמה שנים במרכז	ʔeχˈad mehaχaveʁˈim ʔomˈaʁ ʃehˈu χozˈeʁ laɡˈuʁ baʔafulˈa ʔaχaʁˈaj kamˈea ʃanˈim bemeʁkˈaz
וואלה אח שלי אתה.	valˈa ʔˈaχ ʃelˈi ʔatˈa.
יאללה מתי אתה מגיע?	jˈala metˈej ʔitˈa maɡˈia?
יש שם אווירה ממש סחבקית, כולם מרגישים בבית	jˈeʃ ʃˈem ʔaviʁˈa mamˈaʃ saχbakˈit, kulˈam maʁɡiʃˈim bevˈet
ג'ירפה צעירה רצה לאט ליד אמא שלה ונראתה מאוד שלווה	'ɡˈiaʁfˈh tseʔiʁˈa ʁatsˈa leʔˈat lˈid ʔimˈa ʃelˈa veniʁʔatˈa meʔˈod ʃalvˈa
הזמנתי וויסקי קטן רק בשביל הטעם	hizmˈanti vˈiski ktˈan ʁˈak biʃvˈil hatˈaʔam
הבאתי צ'יפס חם ופריך, והוא נגמר תוך דקה.	hevˈeti 'tsiifs χˈom opʁiχˈa, vehˈu niɡmˈaʁ tˈoχ dakˈa.
שרה שרה שיר שמח	ʃˈaʁa ʃˈaʁa ʃˈiʁ samˈaχ
שמתי ז'קט כי נהיה קצת קר.	sˈamti 'zˈeket χˈi nihjˈe ktsˈat kˈaʁ.
בבוקר הכנתי ג'חנון ואכלנו כולנו ביחד	bevˈokeʁ heχˈanti 'ɡχaanˈojin veʔaχˈalnu kulˈanu bejaχˈad
הוא קנה לעצמו ג'ויסטיק חדש למשחקים	hˈu kanˈe leʔatsmˈo 'ɡoˈiistˈik χadˈeʃ lamisχakˈim
הצלחת הזו נראית ממש יפה.	hatslaχˈat hazˈo niʁʔˈejt mamˈaʃ jafˈe.
אני יודע לנסוע באופניים.	ʔanˈi jodˈea linsˈoa baʔofanajˈim.
איזה שמיים יפים וכחולים.	ʔˈejze ʃamajˈim jafˈim ukˈaχoalˈm.
אתה צורח וזה כואב לי באוזניים.	ʔotˈa tsoʁˈeaχ vezˈe koʔˈev lˈi baʔoznajˈim.
נכנסתי למטבח רק לקחת מים ובסוף מצאתי את עצמי מכין ארוחה שלמה	niχnˈasti lamitbˈaχ ʁˈak lakˈaχat majˈim uvsˈof matsˈati ʔˈet ʔatsmˈi meχˈin ʔaʁuχˈa ʃlemˈa
אמרתי לעצמי שאני רק אבדוק רגע את הטלפון ובסוף עבר חצי שעה	ʔamˈaʁti leʔatsmˈi ʃeʔanˈi ʁˈak ʔevdˈok ʁˈeɡa ʔˈat hatˈelefon uvsˈof ʔavˈoʁ χitsˈej ʃaʔˈa
הייתי בטוח שיש לי עוד זמן ואז גיליתי שהשעה כבר מאוחרת	hajˈiti batˈuaχ ʃˈajiʃ lˈi ʔˈud zmˈan veʔˈaz ɡilˈiti ʃehaʃaʔˈa kvˈaʁ meʔuχˈeʁet
באתי רק להגיד שלום ונשארתי הרבה יותר ממה שתכננתי	bˈati ʁˈak lehaɡˈid ʃlˈom veniʃʔˈaʁti haʁbˈe jotˈeʁ mimˈa ʃetiχnˈanti
שמתי תזכורת ולא הבנתי איך בכל זאת הצלחתי לשכוח	sˈamti tizkˈoʁet velˈo havanatˈi ʔˈejχ vakˈol zˈot hitslˈaχti liʃkˈoaχ
היה לי רגע קצר של שקט והוא נתן לי מלא כוח	hajˈo lˈi ʁˈeɡa katsˈaʁ ʃˈel ʃˈeket vehˈu nitˈan lˈi melˈe kˈoaχ
עשיתי שינוי קטן בשגרה והוא נתן לי תחושה ממש טובה	ʔasˈiti ʃinˈuj ktˈan baʃiɡʁˈa vehˈu notˈen lˈi tχuʃˈa mamˈaʃ tovˈa
פגשתי במקרה מישהו שלא ראיתי הרבה זמן וזה עשה לי את היום	paɡˈaʃti bamikʁˈe mˈiʃehu ʃelˈo ʁaʔˈiti haʁbˈe zmˈan vezˈe ʔasˈe lˈi ʔˈat hajˈom
ישבתי לנוח דקה על הספה ובלי לשים לב נרדמתי	jaʃˈavti lanˈuaχ dakˈa ʔˈal hasapˈa ˈuvli lasˈim lˈev niʁdˈamti
קבעתי להגיע בזמן אבל פקקים הרסו לי את כל התוכנית	kavˈaʔti lehaɡˈia bazmˈan ʔavˈel pkakˈim haʁsˈu lˈi ʔˈat χˈol hatoχnˈit
הקשבתי לעצמי הפעם וזה עבד לי ממש טוב	hikʃˈavti leʔatsmˈi hapˈaʔam vezˈe ʔabˈed lˈi mamˈaʃ tˈov
הלכתי על משהו קטן ויצא ממנו משהו גדול וטוב	hilχatˈi ʔˈal mˈaʃehu ktˈan vejatsˈa mimˈenu maʃˈehu ɡadˈol vetˈov
ניסיתי להסביר את עצמי ופשוט הסתבכתי יותר עם כל מילה	nisˈiti lehasbˈiʁ ʔˈat ʔatsmˈi ufaʃˈut histabˈaχti jotˈeʁ ʔˈam χˈol milˈa
עשיתי משהו בשביל עצמי והרגשתי שזה בדיוק מה שהייתי צריך	ʔasˈiti mˈaʃehu biʃvˈil ʔatsmˈi vehiʁɡˈaʃti ʃezˈe bedijˈuk mˈa ʃehajˈiti tsaʁajˈiχ
חשבתי שזה יהיה משהו קטן ופשוט וזה יצא הרבה יותר מורכב	χaʃˈavti ʃezˈe jihjˈe maʃˈehu katˈon ufaʃˈut vazˈe jetsˈe hiʁbˈa jutˈaʁ muʁkˈav
רציתי יום שקט בבית ובסוף כל היום היה מלא התעסקויות	ʁatsˈiti jˈum ʃˈeket bevˈet uvasˈof χˈol hajˈom hejˈe melˈe hitʔaskujˈot
אמרתי שאקום מוקדם ובסוף גררתי את עצמי מהמיטה	ʔamˈaʁti ʃeʔakˈum mukdˈam uvasˈof ɡaʁˈaʁti ʔˈet ʔatsmˈi mehamitˈa
לא ציפיתי לכלום ובכל זאת היום התמלא ברגעים יפים	lˈo tsipˈiti liχlˈum uvχˈol zˈot hajˈom hitmalˈe baʁɡaʔˈim jafˈim
הייתי בטוח שאני מבין מה קורה ואז הכל הסתבך לי	hajˈiti batˈuaχ ʃeʔanˈi mibˈen mˈa koʁˈa veʔˈaz hakˈol histabˈeχ lˈi
חשבתי שזה עוד יום רגיל ויצאה ממנו תחושה מדהימה	χaʃˈavti ʃezˈe ʔˈud jˈum ʁaɡˈil vejatsʔˈa mimˈenu tχuʃˈa madhimˈa
שמתי תזכורת ולא הבנתי איך בכל זאת הצלחתי לשכוח	sˈamti tizkˈoʁet velˈo havanatˈi ʔˈejχ vakˈol zˈot hitslˈaχti liʃkˈoaχ
ניסיתי להיות רציני ובאיזשהו שלב זה כבר הפך לבדיחה	nisˈiti lihjˈot ʁetsinˈi uvʔejzeʃehˈu ʃlˈav zˈe kvˈaʁ hafˈaχ livdiχˈa
חשבתי שאני מוכן להכל ואז הגיע משהו שלא צפיתי	χaʃˈavti ʃeʔanˈi muχˈan lχˈl veʔˈaz hiɡˈia mˈaʃehu ʃelˈo tsafˈiti
פגשתי אנשים טובים והם פשוט עשו לי את היום	paɡˈaʃti ʔanaʃˈim tovˈim vehˈem pʃˈot ʔesˈav lˈi ʔˈat hajˈom
עשיתי צעד קטן והוא הרגיש כמו התקדמות גדולה	ʔasˈiti tsˈaʔad ktˈan vehˈu haʁaɡˈiʃ kmˈo hitkadmˈut ɡdolˈa
היה לי רגע קצר של שקט והוא נתן לי מלא כוח	hajˈo lˈi ʁˈeɡa katsˈaʁ ʃˈel ʃˈeket vehˈu nitˈan lˈi melˈe kˈoaχ
קניתי משהו קטן ובסוף זה גרר עוד מיליון דברים מסביב	kanˈiti mˈaʃehu katˈon uvasˈof zˈo ɡaʁˈaʁ ʔˈod miljˈon dvaʁˈim misvˈiv
הבטחתי לעצמי להיות רגוע ואז מישהו לחץ לי על העצבים	hivtˈaχti leʔatsmˈi lihjˈot ʁaɡˈua veʔˈaz mˈiʃehu lˈaχats lˈi ʔˈal haʔatsavˈim
חשבתי לעשות הפסקה קצרה ופתאום עבר חצי יום	χaʃˈavti laʔasˈot hapiskˈa katsʁˈa ufitʔˈom ʔavˈaʁ χitsˈej jˈum
ישבתי לחשוב רגע ובלי לשים לב כבר הייתי עמוק בתוך זה	jaʃˈavti leχaʃˈuv ʁˈeɡa ˈuvli lasˈim lˈev kvˈaʁ hajˈiti ʔamˈok betˈoχ zˈo
אמרתי שהפעם אני באמת מתארגן בזמן ובסוף שוב מיהרתי	ʔamˈaʁti ʃehapaʔˈam ʔanˈi beʔemˈet mitʔaʁɡˈen bazmˈan uvasˈof ʃˈuv mihˈaʁti
אמרתי לעצמי להיות רגוע ופשוט נהניתי מכל רגע	ʔamˈaʁti leʔatsmˈi lihjˈot ʁaɡˈua ufaʃˈut nehenˈeti mikˈol ʁˈeɡa
לא תכננתי כלום והיום התמלא בדברים טובים מעצמם	lˈa tiχnˈanti χlˈum vehajˈom hitmalˈe bidvaʁˈim tovˈim meʔatsmˈam
נכנסתי לשיחה סתם בכאילו ובסוף יצא דיבור ממש עמוק	niχnˈasti lasiχˈa stˈam biχeʔˈilu uvasˈof jetsˈe dibˈuʁ mamˈaʃ ʔamˈok
היה לי תכנון ברור ואז המציאות פשוט צחקה לי בפנים	hejˈe lˈi tiχnˈun baʁˈuʁ veʔˈaz hamtsiʔˈot paʃˈut tsaχakˈa lˈi bifnˈim
ניסיתי לעשות את זה פשוט ובדרך איכשהו זה נהיה מסובך יותר	nisˈiti laʔasˈot ʔˈat zˈe paʃˈut uvadˈeʁeχ ʔejχʃehˈu zˈe nihjˈa mesubˈaχ jutˈaʁ
התעוררתי עם אנרגיות טובות והכול פשוט זרם לי היום	hitʔoʁˈaʁti ʔˈam ʔenˈeʁɡijot tovˈot vehakˈol pʃˈot zaʁˈam lˈi hajˈom
קבעתי לצאת רק קצת והיום הפך למלא חוויות טובות	kavˈaʔti latsˈet ʁˈak ktsˈat vehajˈom hafˈaχ lemalˈe χavajˈot tovˈot
נפגשנו סתם לכוס קפה ויצאה שיחה ממש נעימה	nifɡˈaʃnu stˈam leχˈos kafˈe vejatsʔˈa siχˈa mamˈaʃ neʔimˈa
הייתי בטוח שזה יהיה רגיל ויצא הרבה יותר טוב ממה שציפיתי	hajˈiti batˈuaχ ʃezˈe jihjˈe ʁaɡˈil vejetsˈe haʁabˈa jotˈeʁ tˈuv mimˈa ʃetsipˈiti
יצאתי להליכה קצרה וחזרתי עם חיוך גדול על הפנים	jatsˈati lahaliχˈa katsʁˈa veχazˈaʁti ʔˈam χijˈuχ ɡdˈol ʔˈol hifnˈim
עשיתי משהו קטן בשביל מישהו וקיבלתי פי כמה חזרה בלב	ʔasˈiti mˈaʃehu katˈon biʃvˈil mˈiʃehu vekibˈalti fˈi kamˈa χazaʁˈa belˈev
חשבתי שזה יום רגוע והוא הפך ליום ממש כיף	χaʃˈavti ʃezˈe jˈom ʁaɡˈua vehˈu hafˈaχ lajˈom mamˈaʃ kˈef
עשיתי הפסקה קטנה והיא נתנה לי בוסט מטורף להמשך	ʔasˈiti hapiskˈa ktanˈa vehˈi nitnˈa lˈi bevˈest metoʁˈaf lahemʃˈeχ
הלכתי בלי ציפיות ויצאתי עם תחושה ממש טובה	hilχatˈi blˈi tsipijˈot vejatsˈati ʔˈim tχuʃˈa mamˈaʃ tovˈa
השקעתי קצת זמן ופתאום הכול הסתדר בצורה מושלמת	hiʃkˈaʔti ktsˈat zmˈan ufitʔˈom hakˈol histadˈeʁ batsuʁˈa muʃlˈemet
טלסקופ החלל החדש צילם גלקסיות ספירליות במרחק עצום ממערכת השמש שלנו.	teleskˈop heχalˈal heχadˈaʃ tsilˈem iɡlksˈijˈot isfilaʁˈaljˈot bemeʁχˈak ʔatsˈum mimaʔaʁˈeχet haʃˈemeʃ ʃelˈanu.
השף הצרפתי הכין פונדו גבינות מבעבע עם צ'יפס פריך וקרוטונים מתובלים.	haʃˈef hatsaʁfatˈi heχˈin ponˈdu ɡvinˈot mevaʔbˈea ʔˈam 'tsiifs paʁˈiχ ukʁˈutonim metubalˈim.
האלגוריתם המתוחכם הצליח לפענח הצפנה קוונטית בזמן אמת ללא שגיאות מערכת.	haʔalɡoʁˈitm hamtuχkˈam hitslˈiaχ lefaʔnˈeaχ hatspanˈa kuonatjˈt bazmˈan ʔamˈat lelˈo ʃɡiʔˈot maʔaʁˈeχet.
הארכיאולוגים גילו בחפירות פסיפס ביזנטי עתיק ונדיר שנשתמר בצורה יוצאת דופן.	haʔaʁχeʔolˈoɡim ɡilˈu baχafiʁˈot psefˈas bizantˈi ʔatˈik venadˈiʁ ʃnˈʃitmʁ batsuʁˈa jotsˈet dˈofen.
האינפלציה הדוהרת השפיעה דרמטית על שוק המניות והובילה לקריסת בנקים מקומיים.	haʔinflˈatsja hadohˈeʁet hiʃpˈiʔa dʁamˈatit ʔˈal ʃˈok hamnajˈot vehovˈila likʁisˈat bˈankim mekomijˈim.
הסופר פרסם אנתולוגיה מרתקת של סיפורי מדע בדיוני ופנטזיה אפלה לנוער.	hasˈupeʁ piʁsˈem ʔaanˈtaoluɡia meʁatˈeket ʃˈal sipuʁˈi madˈa bedijunˈej ufantˈazja ʔafelˈa lenˈoʔaʁ.
הדוגמנית לבשה ז'קט קטיפה בצבע בורדו עם אקססוריז נוצצים ונעלי עקב.	haduɡmanˈit lavʃˈa 'zˈeket ktifˈa batsˈeva baueʁdˈo ʔˈam ʔakˈssuaʁz notstsˈim venaʔalˈej ʔˈekev.
הפיורדים בנורווגיה מציעים נופים עוצרי נשימה של הרים תלולים ומים צלולים.	hafjˈoʁdim vnuaʁuoia matsiʔˈim nofˈim ʔotsʁˈej neʃimˈa ʃˈel haʁˈim itlˈoliim umajˈim tslulˈim.
הקואליציה והאופוזיציה ניהלו עימות סוער בוועדת החוקה סביב הרפורמה המשפטית החדשה.	hakoʔalˈitsja vehaʔopozˈitsja nihalˈu ʔimˈut soʔˈeʁ bevaʔadˈat haχukˈa savˈiv haʁefˈoʁma hamiʃpatˈit haχadaʃˈa.
הפסיכיאטר רשם תרופה אנטיביוטית ופסיכואקטיבית לטיפול בתסמינים כרוניים של חרדה חברתית.	hapsiχiʔˈateʁ ʁaʃˈam tʁufˈa ʔantibijotˈit opsˈikoaktiviat letipˈul betasminˈim kʁˈonijim ʃˈel χaʁadˈa χevʁatˈit.
גורדי השחקים במטרופולין תוכננו על ידי ארכיטקט מפורסם בסגנון פוסט מודרני.	ɡoʁdˈi haʃχakˈim bametʁopolˈin tuχnnˈu ʔˈal jadˈi ʔaʁχitˈekt mefuʁsˈam basiɡnˈon pˈost modˈeʁni.
המנוע ההיברידי של הרכב מאפשר חיסכון אנרגטי משמעותי והפחתת זיהום האוויר.	hamanˈoa hahibʁidˈi ʃˈel heʁkˈev meʔafʃˈeʁ χisaχˈon ʔeneʁɡetˈi maʃmaʔutˈi vehafχatˈat zihˈum haʔavˈiʁ.
