הוא צפה בסרט וראה חיה שצפה במים	hˈu tsafˈa baseʁˈet veʁaʔˈa χajˈa ʃetsafˈa bmajˈim
הוא רצה את זה גם, אבל היא רצה מהר והקדימה אותו	hˈu ʁatsˈa ʔˈet zˈe ɡˈam, ʔavˈal hˈi ʁatsˈa mahˈeʁ vehikdimˈa ʔotˈo
בא תרד לאכול, יש בורקס עם תרד	bˈa teʁˈed leʔeχˈol, jˈeʃ bˈuʁks ʔˈim teʁˈed
אחרי שאתה אורז את המזוודה, תבוא לאכול אורז	ʔaχaʁˈej ʃeʔatˈa ʔoʁˈez ʔˈet hamizvadˈa, tavˈo leʔeχˈol ʔoʁˈez
האם מותר לשתות בירה בעיר הבירה ירושלים?	haʔˈim mutˈaʁ liʃtˈot biʁˈa baʔˈiʁ habiʁˈa jʁuʃalajˈim?
החיה הזו חיה הרבה מאוד שנים.	haχajˈa hazˈo χajˈa haʁbˈe mʔˈod ʃanˈim.
גילה אמרה לי שהוא גילה לה את הסוד.	ɡilˈa ʔamʁˈa lˈi ʃehˈu ɡilˈa lˈa ʔˈet hasˈod.
הבוקר יצא לרעות את העדר מוקדם מאוד בבוקר.	habokˈeʁ jatsˈa liʁʔˈot ʔˈet haʔedˈeʁ mukdˈam mʔˈod babokˈeʁ.
הם לנו בשטח, כי לא נשאר לנו מקום בבית.	hˈem lanˈu baʃetˈaχ, kˈi lˈo niʃʔˈaʁ lanˈu makˈom babajˈit.
הוא צעד לעבר האופק, ובכל צעד הרגיש את כובד הדרך.	hˈu tsaʔˈad lʔevˈeʁ haʔofˈek, uvχˈal tsaʔˈad hiʁɡˈiʃ ʔˈet kovˈed hadeʁˈeχ.
טלגרם זו אפליקציה ממש נוחה לשימוש.	teleɡʁˈam zˈo ʔaplikatsjˈa mamˈaʃ noχˈa lʃimˈuʃ.
תוכל לכתוב לי בוואצאפ?	tuχˈal liχtˈov lˈi bvatsˈap?
מערך הסייבר הלאומי הוא גוף טכנולוגי בישראל.	maʔaʁˈaχ hasajbˈeʁ halʔumˈi hˈu ɡˈuf teχnoloɡˈi bjisʁaʔˈel.
בכל כוס של קולה יש המון סוכר.	bχˈal kˈos ʃˈel kolˈa jˈeʃ hamˈon sukˈaʁ.
אילון מאסק הוא האיש הכי עשיר בעולם.	ʔilˈon masˈak hˈu haʔˈiʃ haχˈi ʔaʃˈiʁ baʔolˈam.
בסטארטאפ שלנו יש דיילי כל יום שני וחמישי	bistaʁtaʔˈap ʃelanˈu jˈeʃ dajalˈi kˈal jˈom ʃenˈi vaχamiʃˈi
שלחתי לך לינק חדש לטיקט שפתחתי בגיהטאב	ʃalaχtˈi lχˈa lˈink χadˈaʃ ltˈikt ʃepataχtˈi bɡihatˈav
שמתי פלייליסט חדש בספוטיפיי ושיתפתי אותו באינסטגרם	samtˈi plejlˈist χadˈaʃ bsipotifˈej veʃitaftˈi ʔotˈo bʔinstaɡʁˈam
בוא נשים את זה בקובץ דוקס ונשתף את הצוות	bˈo naʃˈim ʔˈet zˈe bkovˈets dˈoks veniʃatˈaf ʔˈet hatsevˈet
אנחנו רוצים לעלות לפרודקשן אחרי שנקבל עוד קצת אינפוט	ʔanaχnˈu ʁotsˈim laʔalˈot lipʁodekʃˈan ʔaχaʁˈej ʃenkabˈel ʔˈod ktsˈat ʔinfˈot
אני באמת דואג לך ותמיד כאן בשבילך אם תצטרכי עזרה.	ʔanˈi beʔemˈet doʔˈeɡ lχˈa vetamˈid kˈan biʃvilχˈa ʔˈim titstaʁχˈi ʔezʁˈa.
אני שמח בשבילך ומקווה בשבילך שכל מה שתרצה יקרה	ʔanˈi sameˈaχ biʃvilχˈa umkavˈe biʃvilχˈa ʃekˈal mˈa ʃetiʁtsˈe jikʁˈe
אני בא אליך אחר כך ונשאר אצלך קצת אם מתאים. מה אתה אומר?	ʔanˈi bˈa ʔelˈaχ ʔaχˈaʁ kˈaχ veniʃʔˈaʁ ʔetslˈeχ ktsˈat ʔˈim matʔˈim. mˈa ʔatˈa ʔomˈeʁ?
אני לומד ממך המון ומעריך ממך כל דבר קטן שאתה נותן	ʔanˈi lomˈed mimχˈa hamˈon umaʔaʁˈiχ mimχˈa kˈal davˈaʁ katˈan ʃeʔatˈa notˈen
אני שמח בשבילך ומודה לך על כל מה שאתה עושה	ʔanˈi sameˈaχ biʃvilχˈa umodˈe lχˈa ʔˈal kˈal mˈa ʃeʔatˈa ʔosˈe
אני לומד ממך המון, אתה בן אדם חכם	ʔanˈi lomˈed mimχˈa hamˈon, ʔatˈa bˈen ʔadˈam χaχˈam
אני שמח בשבילך, אחי	ʔanˈi sameˈaχ biʃvilχˈa, ʔaχˈi
אני מתכנן לבוא אלייך מחר ורציתי לדעת אם זה מתאים לך	ʔanˈi mtaχnˈen lavˈo ʔelajˈiχ maχˈaʁ veʁatsitˈi ladaʔˈat ʔˈim zˈe matʔˈim lχˈa
אני עומד לצדך ורוצה לשמוע ממך שאתה לא לבד בזה	ʔanˈi ʔomˈed ltsˈidχ veʁotsˈe liʃmoˈa mimχˈa ʃeʔatˈa lˈo lvˈad bazˈe
אני עומד לצדך ורוצה לשמוע ממך שאת לא לבד בזה	ʔanˈi ʔomˈed ltsˈidχ veʁotsˈe liʃmoˈa mimχˈa ʃeʔˈat lˈo lvˈad bazˈe
אוריה אמרה לי שהיא אוהבת לטייל בטבע.	ʔuʁjˈa ʔamʁˈa lˈi ʃehˈi ʔohevˈet ltajˈel batevˈa.
תהל אמרה שהיא מנסה לעשות יותר הפסקות במהלך היום	tahˈel ʔamʁˈa ʃehˈi mnasˈa laʔasˈot jotˈeʁ hafsakˈot bmahalˈaχ hajˈom
רננה סיפרה שהיא מתכננת טיול ארוך אחרי הלימודים	ʁnanˈa sipʁˈa ʃehˈi mtaχnenˈet tijˈul ʔaʁˈoχ ʔaχaʁˈej halimudˈim
אלירז אמר שהוא מנסה למצוא קצת יותר איזון בחיים	ʔeliʁˈaz ʔamˈaʁ ʃehˈu mnasˈe limtsˈo ktsˈat jotˈeʁ ʔizˈun baχajˈim
ינאי כתב שהוא רוצה להתחיל משהו חדש השנה	jnaʔˈi katˈav ʃehˈu ʁotsˈe lhatχˈil maʃehˈu χadˈaʃ haʃanˈa
אושרה אמרה שהיא מנסה להיות יותר סבלנית עם עצמה	ʔuʃʁˈa ʔamʁˈa ʃehˈi mnasˈa lihjˈot jotˈeʁ savlanˈit ʔˈim ʔatsmˈa
שלומי סיפר שהוא התחיל לעבוד על פרויקט חדש והוא מתלהב מזה	ʃlomˈi sipˈeʁ ʃehˈu hitχˈil laʔavˈod ʔˈal pʁojˈekt χadˈaʃ vehˈu mitlahˈev mizˈe
ידידה סיפרה שהיא התחילה ללמוד בטכניון ועברה לגור בחיפה	jdidˈa sipʁˈa ʃehˈi hitχilˈa lilmˈod bteχnijˈon veʔavʁˈa laɡˈuʁ bχefˈa
מישהי בעבודה אמרה שהיא שוקלת לעבור לראשון לציון בשביל להיות קרובה למשפחה	miʃehˈi baʔavodˈa ʔamʁˈa ʃehˈi ʃokelˈet laʔavˈoʁ laʁiʃˈon ltsijˈon biʃvˈil lihjˈot kʁovˈa lamiʃpaχˈa
אחד מהחברים אמר שהוא חוזר לגור בעפולה אחרי כמה שנים במרכז	ʔeχˈad mehaχaveʁˈim ʔamˈaʁ ʃehˈu χozˈeʁ laɡˈuʁ baʔafulˈa ʔaχaʁˈej kamˈa ʃanˈim bmeʁkˈaz
וואלה אח שלי אתה.	valˈa ʔˈaχ ʃelˈi ʔatˈa.
יאללה מתי אתה מגיע?	jˈala matˈaj ʔatˈa maɡiˈa?
יש שם אווירה ממש סחבקית, כולם מרגישים בבית	jˈeʃ ʃˈam ʔaviʁˈa mamˈaʃ saχbekˈit, kulˈam maʁɡiʃˈim bvejˈit
ג'ירפה צעירה רצה לאט ליד אמא שלה ונראתה מאוד שלווה	dʒiʁpˈa tsʔiʁˈa ʁatsˈa lʔˈat ljˈad ʔimˈa ʃelˈa veniʁʔatˈa mʔˈod ʃalvˈa
הזמנתי וויסקי קטן רק בשביל הטעם	hizmantˈi uskˈi katˈan ʁˈak biʃvˈil hataʔˈam
הבאתי צ'יפס חם ופריך, והוא נגמר תוך דקה.	hevetˈi tʃˈips χˈam ufʁˈiχ, vehˈu niɡmˈaʁ tˈoχ dakˈa.
שרה שרה שיר שמח	saʁˈa saʁˈa ʃˈiʁ sameˈaχ
שמתי ז'קט כי נהיה קצת קר.	samtˈi ʒakˈet kˈi nihjˈe ktsˈat kˈaʁ.
בבוקר הכנתי ג'חנון ואכלנו כולנו ביחד	babokˈeʁ heχantˈi dʒaχanˈon veʔaχalnˈu kulanˈu bjaχˈad
הוא קנה לעצמו ג'ויסטיק חדש למשחקים	hˈu kanˈa lʔatsmˈo dʒvistˈik χadˈaʃ lmisχakˈim
הצלחת הזו נראית ממש יפה.	hatsalaχˈat hazˈo niʁʔˈejt mamˈaʃ jafˈe.
אני יודע לנסוע באופניים.	ʔanˈi jodeˈa linsoˈa baʔofanajˈim.
איזה שמיים יפים וכחולים.	ʔejzˈe ʃamajˈim jafˈim uχχulˈim.
אתה צורח וזה כואב לי באוזניים.	ʔatˈa tsoʁeˈaχ vezˈe koʔˈev lˈi baʔoznajˈim.
נכנסתי למטבח רק לקחת מים ובסוף מצאתי את עצמי מכין ארוחה שלמה	niχnastˈi lamitbˈaχ ʁˈak lakaχˈat majˈim uvasˈof matsatˈi ʔˈet ʔatsmˈi meχˈin ʔaʁuχˈa ʃlemˈa
אמרתי לעצמי שאני רק אבדוק רגע את הטלפון ובסוף עבר חצי שעה	ʔamaʁtˈi lʔatsmˈi ʃeʔanˈi ʁˈak ʔevdˈok ʁeɡˈa ʔˈet hatelefˈon uvasˈof ʔavˈaʁ χatsˈi ʃaʔˈa
הייתי בטוח שיש לי עוד זמן ואז גיליתי שהשעה כבר מאוחרת	hajitˈi batuˈaχ ʃejˈeʃ lˈi ʔˈod zmˈan veʔˈaz ɡilitˈi ʃehaʃaʔˈa kvˈaʁ mʔuχeʁˈet
באתי רק להגיד שלום ונשארתי הרבה יותר ממה שתכננתי	batˈi ʁˈak lhaɡˈid ʃalˈom veniʃʔaʁtˈi haʁbˈe jotˈeʁ mimˈa ʃetiχnantˈi
שמתי תזכורת ולא הבנתי איך בכל זאת הצלחתי לשכוח	samtˈi tizkoʁˈet velˈo hevantˈi ʔˈejχ bχˈal zˈot hitslaχtˈi liʃkoˈaχ
היה לי רגע קצר של שקט והוא נתן לי מלא כוח	hajˈa lˈi ʁeɡˈa katsˈaʁ ʃˈel ʃekˈet vehˈu natˈan lˈi malˈe koˈaχ
עשיתי שינוי קטן בשגרה והוא נתן לי תחושה ממש טובה	ʔasitˈi ʃinˈuj katˈan baʃiɡʁˈa vehˈu natˈan lˈi tχuʃˈa mamˈaʃ tovˈa
פגשתי במקרה מישהו שלא ראיתי הרבה זמן וזה עשה לי את היום	paɡaʃtˈi bmikʁˈe miʃehˈu ʃelˈo ʁaʔitˈi haʁbˈe zmˈan vezˈe ʔasˈa lˈi ʔˈet hajˈom
ישבתי לנוח דקה על הספה ובלי לשים לב נרדמתי	jaʃavtˈi lanuˈaχ dakˈa ʔˈal hasapˈa uvlˈi lasˈim lˈev niʁdamtˈi
קבעתי להגיע בזמן אבל פקקים הרסו לי את כל התוכנית	kavaʔtˈi lhaɡiˈa bizmˈan ʔavˈal pkakˈim haʁsˈu lˈi ʔˈet kˈal hatoχnˈit
הקשבתי לעצמי הפעם וזה עבד לי ממש טוב	hikʃavtˈi lʔatsmˈi hapaʔˈam vezˈe ʔavˈad lˈi mamˈaʃ tˈov
הלכתי על משהו קטן ויצא ממנו משהו גדול וטוב	halaχtˈi ʔˈal maʃehˈu katˈan vejatsˈa mimenˈu maʃehˈu ɡadˈol vetˈov
ניסיתי להסביר את עצמי ופשוט הסתבכתי יותר עם כל מילה	nisitˈi lhasbˈiʁ ʔˈet ʔatsmˈi ufaʃˈut histabaχtˈi jotˈeʁ ʔˈim kˈal milˈa
עשיתי משהו בשביל עצמי והרגשתי שזה בדיוק מה שהייתי צריך	ʔasitˈi maʃehˈu biʃvˈil ʔatsmˈi vehiʁɡaʃtˈi ʃezˈe bdijˈuk mˈa ʃehajitˈi tsaʁˈiχ
חשבתי שזה יהיה משהו קטן ופשוט וזה יצא הרבה יותר מורכב	χaʃavtˈi ʃezˈe jihjˈe maʃehˈu katˈan ufaʃˈut vezˈe jatsˈa haʁbˈe jotˈeʁ muʁkˈav
רציתי יום שקט בבית ובסוף כל היום היה מלא התעסקויות	ʁatsitˈi jˈom ʃakˈet babajˈit uvasˈof kˈal hajˈom hajˈa malˈe hitʔaskujˈot
אמרתי שאקום מוקדם ובסוף גררתי את עצמי מהמיטה	ʔamaʁtˈi ʃeʔakˈum mukdˈam uvasˈof ɡaʁaʁtˈi ʔˈet ʔatsmˈi mehamitˈa
לא ציפיתי לכלום ובכל זאת היום התמלא ברגעים יפים	lˈo tsipitˈi liχlˈum uvχˈal zˈot hajˈom hitmalˈe biʁɡaʔˈim jafˈim
הייתי בטוח שאני מבין מה קורה ואז הכל הסתבך לי	hajitˈi batuˈaχ ʃeʔanˈi mevˈin mˈa koʁˈe veʔˈaz hakˈol histabˈeχ lˈi
חשבתי שזה עוד יום רגיל ויצאה ממנו תחושה מדהימה	χaʃavtˈi ʃezˈe ʔˈod jˈom ʁaɡˈil vejatsʔˈa mimenˈu tχuʃˈa madhimˈa
שמתי תזכורת ולא הבנתי איך בכל זאת הצלחתי לשכוח	samtˈi tizkoʁˈet velˈo hevantˈi ʔˈejχ bχˈal zˈot hitslaχtˈi liʃkoˈaχ
ניסיתי להיות רציני ובאיזשהו שלב זה כבר הפך לבדיחה	nisitˈi lihjˈot ʁtsinˈi uvʔejzeʃehˈu ʃalˈav zˈe kvˈaʁ hafˈaχ livdiχˈa
חשבתי שאני מוכן להכל ואז הגיע משהו שלא צפיתי	χaʃavtˈi ʃeʔanˈi muχˈan lhakˈol veʔˈaz hiɡiˈa maʃehˈu ʃelˈo tsafitˈi
פגשתי אנשים טובים והם פשוט עשו לי את היום	paɡaʃtˈi ʔanaʃˈim tovˈim vehˈem paʃˈut ʔasˈu lˈi ʔˈet hajˈom
עשיתי צעד קטן והוא הרגיש כמו התקדמות גדולה	ʔasitˈi tsaʔˈad katˈan vehˈu hiʁɡˈiʃ kmˈo hitkadmˈut ɡdolˈa
היה לי רגע קצר של שקט והוא נתן לי מלא כוח	hajˈa lˈi ʁeɡˈa katsˈaʁ ʃˈel ʃekˈet vehˈu natˈan lˈi malˈe koˈaχ
קניתי משהו קטן ובסוף זה גרר עוד מיליון דברים מסביב	kanitˈi maʃehˈu katˈan uvasˈof zˈe ɡaʁˈaʁ ʔˈod miljˈon dvaʁˈim misavˈiv
הבטחתי לעצמי להיות רגוע ואז מישהו לחץ לי על העצבים	hivtaχtˈi lʔatsmˈi lihjˈot ʁaɡuˈa veʔˈaz miʃehˈu laχˈats lˈi ʔˈal haʔatsabˈim
חשבתי לעשות הפסקה קצרה ופתאום עבר חצי יום	χaʃavtˈi laʔasˈot hafsakˈa ktsaʁˈa ufitʔˈom ʔavˈaʁ χatsˈi jˈom
ישבתי לחשוב רגע ובלי לשים לב כבר הייתי עמוק בתוך זה	jaʃavtˈi laχaʃˈov ʁeɡˈa uvlˈi lasˈim lˈev kvˈaʁ hajitˈi ʔamˈok btˈoχ zˈe
אמרתי שהפעם אני באמת מתארגן בזמן ובסוף שוב מיהרתי	ʔamaʁtˈi ʃehapaʔˈam ʔanˈi beʔemˈet mitʔaʁɡˈen bizmˈan uvasˈof ʃˈuv mihaʁtˈi
אמרתי לעצמי להיות רגוע ופשוט נהניתי מכל רגע	ʔamaʁtˈi lʔatsmˈi lihjˈot ʁaɡuˈa ufaʃˈut nehenetˈi mikˈal ʁeɡˈa
לא תכננתי כלום והיום התמלא בדברים טובים מעצמם	lˈo tiχnantˈi klˈum vehajˈom hitmalˈe bidvaʁˈim tovˈim meʔatsmˈam
נכנסתי לשיחה סתם בכאילו ובסוף יצא דיבור ממש עמוק	niχnastˈi lasiχˈa stˈam biχʔilˈu uvasˈof jatsˈa dibˈuʁ mamˈaʃ ʔamˈok
היה לי תכנון ברור ואז המציאות פשוט צחקה לי בפנים	hajˈa lˈi tiχnˈun baʁˈuʁ veʔˈaz hamtsiʔˈut paʃˈut tsaχakˈa lˈi bifnˈim
ניסיתי לעשות את זה פשוט ובדרך איכשהו זה נהיה מסובך יותר	nisitˈi laʔasˈot ʔˈet zˈe paʃˈut uvadeʁˈeχ ʔejχʃehˈu zˈe nihjˈe msubˈaχ jotˈeʁ
התעוררתי עם אנרגיות טובות והכול פשוט זרם לי היום	hitʔoʁaʁtˈi ʔˈim ʔeneʁɡijˈot tovˈot vehakˈol paʃˈut zaʁˈam lˈi hajˈom
קבעתי לצאת רק קצת והיום הפך למלא חוויות טובות	kavaʔtˈi latsˈet ʁˈak ktsˈat vehajˈom hafˈaχ lmalˈe χavajˈot tovˈot
נפגשנו סתם לכוס קפה ויצאה שיחה ממש נעימה	nifɡaʃnˈu stˈam lχˈos kafˈe vejatsʔˈa siχˈa mamˈaʃ nʔimˈa
הייתי בטוח שזה יהיה רגיל ויצא הרבה יותר טוב ממה שציפיתי	hajitˈi batuˈaχ ʃezˈe jihjˈe ʁaɡˈil vejatsˈa haʁbˈe jotˈeʁ tˈov mimˈa ʃetsipitˈi
יצאתי להליכה קצרה וחזרתי עם חיוך גדול על הפנים	jatsatˈi lahaliχˈa ktsaʁˈa veχazaʁtˈi ʔˈim χijˈuχ ɡadˈol ʔˈal hapanˈim
עשיתי משהו קטן בשביל מישהו וקיבלתי פי כמה חזרה בלב	ʔasitˈi maʃehˈu katˈan biʃvˈil miʃehˈu vekibaltˈi pˈi kamˈa χazʁˈa blˈev
חשבתי שזה יום רגוע והוא הפך ליום ממש כיף	χaʃavtˈi ʃezˈe jˈom ʁaɡuˈa vehˈu hafˈaχ ljˈom mamˈaʃ kˈef
עשיתי הפסקה קטנה והיא נתנה לי בוסט מטורף להמשך	ʔasitˈi hafsakˈa ktanˈa vehˈi natnˈa lˈi bˈost mtoʁˈaf lhemʃˈeχ
הלכתי בלי ציפיות ויצאתי עם תחושה ממש טובה	halaχtˈi blˈi tsipijˈot vejatsatˈi ʔˈim tχuʃˈa mamˈaʃ tovˈa
השקעתי קצת זמן ופתאום הכול הסתדר בצורה מושלמת	haʃkaʔatˈi ktsˈat zmˈan ufitʔˈom hakˈol histadˈeʁ btsuʁˈa muʃlemˈet
טלסקופ החלל החדש צילם גלקסיות ספירליות במרחק עצום ממערכת השמש שלנו.	teleskˈop heχalˈal heχadˈaʃ tsilˈem ɡalaksjˈot spiʁalijˈot bmeʁχˈak ʔatsˈum mimaʔaʁeχˈet haʃemˈeʃ ʃelanˈu.
השף הצרפתי הכין פונדו גבינות מבעבע עם צ'יפס פריך וקרוטונים מתובלים.	haʃˈef hatsaʁfatˈi heχˈin pundˈo ɡvinˈot mvaʔbeˈa ʔˈim tʃˈips pʁˈiχ ukʁotonˈim mtubalˈim.
האלגוריתם המתוחכם הצליח לפענח הצפנה קוונטית בזמן אמת ללא שגיאות מערכת.	haʔalɡoʁˈitm hamtuχkˈam hitsliˈaχ lfaʔneˈaχ hatspanˈa kvantˈit bizmˈan ʔemˈet llˈo ʃɡiʔˈot maʔaʁeχˈet.
הארכיאולוגים גילו בחפירות פסיפס ביזנטי עתיק ונדיר שנשתמר בצורה יוצאת דופן.	haʔaʁχeʔoloɡˈim ɡilˈu baχafiʁˈot psifˈas bizantˈi ʔatˈik venadˈiʁ ʃeniʃtamˈeʁ btsuʁˈa jotsˈet dofˈen.
האינפלציה הדוהרת השפיעה דרמטית על שוק המניות והובילה לקריסת בנקים מקומיים.	haʔinflatsjˈa hadoheʁˈet haʃfiʔˈa dʁamatˈit ʔˈal ʃˈuk hamnajˈot vehovilˈa likʁisˈat bankˈim mkomijˈim.
הסופר פרסם אנתולוגיה מרתקת של סיפורי מדע בדיוני ופנטזיה אפלה לנוער.	hasofˈeʁ piʁsˈem ʔantoloɡjˈa mʁatekˈet ʃˈel sipuʁˈej madˈa bidjonˈi ufantazjˈa ʔafelˈa lnoʔˈaʁ.
הדוגמנית לבשה ז'קט קטיפה בצבע בורדו עם אקססוריז נוצצים ונעלי עקב.	haduɡmanˈit lavʃˈa ʒakˈet ktifˈa btsevˈa boʁdˈo ʔˈim ʔekssoʁˈiz notstsˈim venaʔalˈej ʔekˈev.
הפיורדים בנורווגיה מציעים נופים עוצרי נשימה של הרים תלולים ומים צלולים.	hapijoʁdˈim bnoʁveɡjˈa matsiʔˈim nofˈim ʔotsʁˈej nʃimˈa ʃˈel haʁˈim tlulˈim umajˈim tslulˈim.
הקואליציה והאופוזיציה ניהלו עימות סוער בוועדת החוקה סביב הרפורמה המשפטית החדשה.	hakoʔalitsjˈa vehaʔopozitsjˈa nihalˈu ʔimˈut soʔˈeʁ bvaʔadˈat haχukˈa svˈiv haʁefoʁmˈa hamiʃpatˈit haχadaʃˈa.
הפסיכיאטר רשם תרופה אנטיביוטית ופסיכואקטיבית לטיפול בתסמינים כרוניים של חרדה חברתית.	hapsiχiʔatˈeʁ ʁaʃˈam tʁufˈa ʔantibijotˈit ufsiχoʔaktivˈit ltipˈul btasminˈim kʁonijˈim ʃˈel χaʁadˈa χevʁatˈit.
גורדי השחקים במטרופולין תוכננו על ידי ארכיטקט מפורסם בסגנון פוסט מודרני.	ɡoʁdˈej haʃχakˈim bmetʁopolˈin tuχnnˈu ʔˈal jdˈej ʔaʁχitˈekt mfuʁsˈam bsiɡnˈon pˈost modeʁnˈi.
המנוע ההיברידי של הרכב מאפשר חיסכון אנרגטי משמעותי והפחתת זיהום האוויר.	hamanoˈa hahevʁidˈi ʃˈel haʁeχˈev mʔafʃˈeʁ χisaχˈon ʔeneʁɡetˈi maʃmaʔutˈi vehafχatˈat zihˈum haʔavˈiʁ.
