הוא צפה בסרט וראה חיה שצפה במים	hˈu tsafˈa basˈeʁet veʁaʔˈa χajˈa ʃetsafˈa bamˈajim
הוא רצה את זה גם, אבל היא רצה מהר והקדימה אותו	hˈu ʁatsˈa ʔˈet zˈe ɡˈam, ʔavˈal hˈi ʁatsˈa mahˈeʁ vehikdˈima ʔotˈo
בא תרד לאכול, יש בורקס עם תרד	bˈa tˈeʁed leʔeχˈol, jˈeʃ bˈuʁkas ʔˈim tˈeʁed
אחרי שאתה אורז את המזוודה, תבוא לאכול אורז	ʔaχaʁˈej ʃeʔatˈa ʔoʁˈez ʔˈet hamizvadˈa, tavˈo leʔeχˈol ʔˈoʁez
האם מותר לשתות בירה בעיר הבירה ירושלים?	haʔˈim mutˈaʁ liʃtˈot biʁˈa beʔˈiʁ habiʁˈa jeʁuʃalajˈim?
החיה הזו חיה הרבה מאוד שנים.	haχajˈa hazˈo χajˈa haʁbˈe meʔˈod ʃanˈim.
גילה אמרה לי שהוא גילה לה את הסוד.	ɡilˈa ʔamʁˈa lˈi ʃehˈu ɡilˈa lˈa ʔˈet hasˈod.
הבוקר יצא לרעות את העדר מוקדם מאוד בבוקר.	habokˈeʁ jatsˈa lieʁʔˈot ʔˈet haʔˈedeʁ mukdˈam meʔˈod babˈokeʁ.
הם לנו בשטח, כי לא נשאר לנו מקום בבית.	hˈem lanˈu baʃˈetaχ, kˈi lˈo niʃʔˈaʁ lanˈu makˈom babˈajit.
הוא צעד לעבר האופק, ובכל צעד הרגיש את כובד הדרך.	hˈu tsaʔˈad leʔˈeveʁ haʔˈofek, uvχˈol tsˈaʔad hiʁɡˈiʃ ʔˈet kˈoved hadˈeʁeχ.
טלגרם זו אפליקציה ממש נוחה לשימוש.	teleɡʁˈam zˈo ʔaplˈikˈatsja mamˈaʃ nˈoχa leʃimˈuʃ.
תוכל לכתוב לי בוואצאפ?	tuχˈal liχtˈov lˈi bevutsaʔˈap?
מערך הסייבר הלאומי הוא גוף טכנולוגי בישראל.	maʔˈaʁaχ hasˈajbeʁ haleʔumˈi hˈu ɡˈuf teχnolˈoɡi bejisʁaʔˈel.
בכל כוס של קולה יש המון סוכר.	beχˈol kˈos ʃˈel kˈola jˈeʃ hamˈon sukˈaʁ.
אילון מאסק הוא האיש הכי עשיר בעולם.	ʔilˈon mˈask hˈu haʔˈiʃ haχˈi ʔaʃˈiʁ baʔolˈam.
בסטארטאפ שלנו יש דיילי כל יום שני וחמישי	bastaʁtaʔˈap ʃelˈanu jˈeʃ dejlˈi kˈol jˈom ʃenˈi vaχamiʃˈi
שלחתי לך לינק חדש לטיקט שפתחתי בגיהטאב	ʃalˈaχti leχˈa lˈink χadˈaʃ latˈikt ʃepatˈaχti beɡhtˈav
שמתי פלייליסט חדש בספוטיפיי ושיתפתי אותו באינסטגרם	sˈamti plajlˈist χadˈaʃ bispotipˈej veʃitˈafti ʔotˈo baʔinstaɡʁˈam
בוא נשים את זה בקובץ דוקס ונשתף את הצוות	bˈo nasˈim ʔˈet zˈe baekˈovets dˈoks unʃatˈef ʔˈet hatsˈevet
אנחנו רוצים לעלות לפרודקשן אחרי שנקבל עוד קצת אינפוט	ʔanˈaχnu ʁotsˈim laʔalˈot lapʁodˈekʃen ʔaχaʁˈej ʃenkabˈel ʔˈod ktsˈat ʔinpˈot
אני באמת דואג לך ותמיד כאן בשבילך אם תצטרכי עזרה.	ʔanˈi beʔemˈet doʔˈeɡ lˈeχ vetamˈid kˈan biʃvˈilχ ʔˈim titstaʁχˈi ʔezʁˈa.
אני שמח בשבילך ומקווה בשבילך שכל מה שתרצה יקרה	ʔanˈi samˈeaχ biʃvilχˈa umkavˈe biʃvilχˈa ʃekˈol mˈa ʃetiʁtsˈe jikʁˈe
אני בא אליך אחר כך ונשאר אצלך קצת אם מתאים. מה אתה אומר?	ʔanˈi bˈa ʔelˈeχa ʔaχˈaʁ kˈaχ veniʃʔˈaʁ ʔetslχˈa ktsˈat ʔˈim matʔˈim. mˈa ʔatˈa ʔomˈeʁ?
אני לומד ממך המון ומעריך ממך כל דבר קטן שאתה נותן	ʔanˈi lomˈed mimχˈa hamˈon umaʔaʁˈiχ mimχˈa kˈol davˈaʁ katˈan ʃeʔatˈa notˈen
אני שמח בשבילך ומודה לך על כל מה שאתה עושה	ʔanˈi samˈeaχ biʃvilχˈa umodˈe leχˈa ʔˈal kˈol mˈa ʃeʔatˈa ʔosˈe
אני לומד ממך המון, אתה בן אדם חכם	ʔanˈi lomˈed mimχˈa hamˈon, ʔatˈa bˈen ʔadˈam χaχˈam
אני שמח בשבילך, אחי	ʔanˈi samˈeaχ biʃvilχˈa, ʔaχˈi
אני מתכנן לבוא אלייך מחר ורציתי לדעת אם זה מתאים לך	ʔanˈi metaχnˈen lavˈo ʔelˈajiχa maχˈaʁ veʁatsˈiti ladˈaʔat ʔˈim zˈe matʔˈim leχˈa
אני עומד לצדך ורוצה לשמוע ממך שאתה לא לבד בזה	ʔanˈi ʔomˈed letsˈidχa veʁotsˈe liʃmˈoa mimχˈa ʃeʔatˈa lˈo levˈad bezˈe
אני עומד לצדך ורוצה לשמוע ממך שאת לא לבד בזה	ʔanˈi ʔomˈed letsidˈeχ veʁotsˈe liʃmˈoa mˈimχ ʃeʔˈat lˈo levˈad bazˈe
אוריה אמרה לי שהיא אוהבת לטייל בטבע.	ʔˈoʁˈija ʔamʁˈa lˈi ʃehˈi ʔohˈevet letajˈel batˈeva.
תהל אמרה שהיא מנסה לעשות יותר הפסקות במהלך היום	tahˈel ʔamʁˈa ʃehˈi menasˈa laʔasˈot jotˈeʁ hafsakˈot bemahalˈaχ hajˈom
רננה סיפרה שהיא מתכננת טיול ארוך אחרי הלימודים	ʁnanˈa sipʁˈa ʃehˈi metaχnˈenet tijˈul ʔaʁˈoχ ʔaχaʁˈej halimudˈim
אלירז אמר שהוא מנסה למצוא קצת יותר איזון בחיים	ʔeliʁˈaz ʔamˈaʁ ʃehˈu menasˈe limtsˈo ktsˈat jotˈeʁ ʔizˈun baχajˈim
ינאי כתב שהוא רוצה להתחיל משהו חדש השנה	janˈaj katˈav ʃehˈu ʁotsˈe lehatχˈil mˈaʃehu χadˈaʃ haʃanˈa
אושרה אמרה שהיא מנסה להיות יותר סבלנית עם עצמה	ʔoʃaʁˈa ʔamʁˈa ʃehˈi menasˈa lihjˈot jotˈeʁ savlanˈit ʔˈim ʔatsmˈa
שלומי סיפר שהוא התחיל לעבוד על פרויקט חדש והוא מתלהב מזה	ʃlomˈi sipˈeʁ ʃehˈu hitχˈil laʔavˈod ʔˈal pʁojˈekt χadˈaʃ vehˈu mitlahˈev mizˈe
ידידה סיפרה שהיא התחילה ללמוד בטכניון ועברה לגור בחיפה	jedidˈa sipʁˈa ʃehˈi hitχˈila lilmˈod bateχnijˈon veʔavʁˈa laɡˈuʁ beχefˈa
מישהי בעבודה אמרה שהיא שוקלת לעבור לראשון לציון בשביל להיות קרובה למשפחה	mˈiʃehi baʔavodˈa ʔamʁˈa ʃehˈi ʃokˈelet laʔavˈoʁ leʁiʃˈon letsijˈon biʃvˈil lihjˈot kʁovˈa lamiʃpaχˈa
אחד מהחברים אמר שהוא חוזר לגור בעפולה אחרי כמה שנים במרכז	ʔeχˈad mehaχaveʁˈim ʔamˈaʁ ʃehˈu χozˈeʁ laɡˈuʁ baʔafulˈa ʔaχaʁˈej kˈama ʃanˈim bameʁkˈaz
וואלה אח שלי אתה.	vulˈa ʔˈaχ ʃelˈi ʔatˈa.
יאללה מתי אתה מגיע?	jˈala matˈaj ʔatˈa maɡˈia?
יש שם אווירה ממש סחבקית, כולם מרגישים בבית	jˈeʃ ʃˈam ʔaviʁˈa mamˈaʃ saχbakˈit, kulˈam maʁɡiʃˈim babˈajit
ג'ירפה צעירה רצה לאט ליד אמא שלה ונראתה מאוד שלווה	dʒiʁfˈa tseʔiʁˈa ʁatsˈa leʔˈat lejˈad ʔimˈa ʃelˈa veniʁʔatˈa meʔˈod ʃlevˈa
הזמנתי וויסקי קטן רק בשביל הטעם	hizmˈanti viskˈi katˈan ʁˈak biʃvˈil hatˈaʔam
הבאתי צ'יפס חם ופריך, והוא נגמר תוך דקה.	hevˈeti tʃˈips χˈam ufaʁˈiχ, vehˈu niɡmˈaʁ tˈoχ dakˈa.
שרה שרה שיר שמח	saʁˈa ʃaʁˈa ʃˈiʁ samˈeaχ
שמתי ז'קט כי נהיה קצת קר.	sˈamti ʒakˈet kˈi nihjˈe ktsˈat kˈaʁ.
בבוקר הכנתי ג'חנון ואכלנו כולנו ביחד	babˈokeʁ heχˈanti dʒaχnˈun veʔaχˈalnu kulˈanu bejˈaχad
הוא קנה לעצמו ג'ויסטיק חדש למשחקים	hˈu kanˈa leʔatsmˈo dʒojstˈik χadˈaʃ lemisχakˈim
הצלחת הזו נראית ממש יפה.	hatsalˈaχat hazˈo niʁʔˈejt mamˈaʃ jafˈe.
אני יודע לנסוע באופניים.	ʔanˈi jodˈea linsˈoa baeʔˈofanajim.
איזה שמיים יפים וכחולים.	ʔˈejze ʃamajˈim jafˈim uχχulˈim.
אתה צורח וזה כואב לי באוזניים.	ʔatˈa tsoʁˈeaχ vezˈe koʔˈev lˈi baʔoznajˈim.
נכנסתי למטבח רק לקחת מים ובסוף מצאתי את עצמי מכין ארוחה שלמה	niχnˈasti lamitbˈaχ ʁˈak lakˈaχat majˈim uvasˈof matsˈati ʔˈet ʔatsmˈi meχˈin ʔaʁuχˈa ʃlemˈa
אמרתי לעצמי שאני רק אבדוק רגע את הטלפון ובסוף עבר חצי שעה	ʔamˈaʁti leʔatsmˈi ʃeʔanˈi ʁˈak ʔevdˈok ʁˈeɡa ʔˈet hatˈelefon uvasˈof ʔavˈaʁ χatsˈi ʃaʔˈa
הייתי בטוח שיש לי עוד זמן ואז גיליתי שהשעה כבר מאוחרת	hajˈiti batˈuaχ ʃejˈeʃ lˈi ʔˈod zmˈan veʔˈaz ɡilitˈi ʃehaʃaʔˈa kvˈaʁ meʔuχˈeʁet
באתי רק להגיד שלום ונשארתי הרבה יותר ממה שתכננתי	bˈati ʁˈak lehaɡˈid ʃalˈom veniʃʔˈaʁti haʁbˈe jotˈeʁ mimˈa ʃetiχnˈanti
שמתי תזכורת ולא הבנתי איך בכל זאת הצלחתי לשכוח	sˈamti tizkˈoʁet velˈo hevˈanti ʔˈejχ beχˈol zˈot hitslˈaχti liʃkˈoaχ
היה לי רגע קצר של שקט והוא נתן לי מלא כוח	hajˈa lˈi ʁˈeɡa katsˈaʁ ʃˈel ʃˈeket vehˈu natˈan lˈi malˈe kˈoaχ
עשיתי שינוי קטן בשגרה והוא נתן לי תחושה ממש טובה	ʔasˈiti ʃinˈuj katˈan baʃiɡʁˈa vehˈu natˈan lˈi tχuʃˈa mamˈaʃ tovˈa
פגשתי במקרה מישהו שלא ראיתי הרבה זמן וזה עשה לי את היום	paɡˈaʃti bemikʁˈe mˈiʃehu ʃelˈo ʁaʔˈiti haʁbˈe zmˈan vezˈe ʔasˈa lˈi ʔˈet hajˈom
ישבתי לנוח דקה על הספה ובלי לשים לב נרדמתי	jaʃˈavti lanˈuaχ dakˈa ʔˈal hasapˈa ˈuvli lasˈim lˈev niʁdamtˈi
קבעתי להגיע בזמן אבל פקקים הרסו לי את כל התוכנית	kavˈaʔti lehaɡˈia bazmˈan ʔavˈal pkakˈim haʁsˈu lˈi ʔˈet kˈol hatoχnˈit
הקשבתי לעצמי הפעם וזה עבד לי ממש טוב	hikʃˈavti leʔatsmˈi hapˈaʔam vezˈe ʔavˈad lˈi mamˈaʃ tˈov
הלכתי על משהו קטן ויצא ממנו משהו גדול וטוב	halˈaχti ʔˈal mˈaʃehu katˈan vejatsˈa mimˈenu mˈaʃehu ɡadˈol vetˈov
ניסיתי להסביר את עצמי ופשוט הסתבכתי יותר עם כל מילה	nisˈiti lehasbˈiʁ ʔˈet ʔatsmˈi ufaʃˈut histabˈaχti jotˈeʁ ʔˈim kˈol milˈa
עשיתי משהו בשביל עצמי והרגשתי שזה בדיוק מה שהייתי צריך	ʔasˈiti mˈaʃehu biʃvˈil ʔatsmˈi vehiʁɡˈaʃti ʃezˈe bedijˈuk mˈa ʃehajˈiti tsaʁˈiχ
חשבתי שזה יהיה משהו קטן ופשוט וזה יצא הרבה יותר מורכב	χaʃˈavti ʃezˈe jihjˈe mˈaʃehu katˈan ufaʃˈut vezˈe jatsˈa haʁbˈe jotˈeʁ muʁkˈav
רציתי יום שקט בבית ובסוף כל היום היה מלא התעסקויות	ʁatsˈiti jˈom ʃˈaket babˈajit uvsˈof kˈol hajˈom hajˈa malˈe hitʔaskujˈot
אמרתי שאקום מוקדם ובסוף גררתי את עצמי מהמיטה	ʔamˈaʁti ʃeʔakˈum mukdˈam uvasˈof ɡaʁˈaʁti ʔˈet ʔatsmˈi mehamitˈa
לא ציפיתי לכלום ובכל זאת היום התמלא ברגעים יפים	lˈo tsipˈiti lieχlˈum uvχˈol zˈot hajˈom hitmalˈe biʁɡaʔˈim jafˈim
הייתי בטוח שאני מבין מה קורה ואז הכל הסתבך לי	hajˈiti batˈuaχ ʃeʔanˈi mevˈin mˈa koʁˈe veʔˈaz hakˈol histabˈeχ lˈi
חשבתי שזה עוד יום רגיל ויצאה ממנו תחושה מדהימה	χaʃˈavti ʃezˈe ʔˈod jˈom ʁaɡˈil vejatsʔˈa mimˈenu tχuʃˈa madhimˈa
שמתי תזכורת ולא הבנתי איך בכל זאת הצלחתי לשכוח	sˈamti tizkˈoʁet velˈo hevˈanti ʔˈejχ beχˈol zˈot hitslˈaχti liʃkˈoaχ
ניסיתי להיות רציני ובאיזשהו שלב זה כבר הפך לבדיחה	nisˈiti lihjˈot ʁetsinˈi uvʔˈejzeʃehu ʃalˈav zˈe kvˈaʁ hafˈaχ livediχˈa
חשבתי שאני מוכן להכל ואז הגיע משהו שלא צפיתי	χaʃˈavti ʃeʔanˈi muχˈan lehakˈol veʔˈaz hiɡˈia mˈaʃehu ʃelˈo tsafˈiti
פגשתי אנשים טובים והם פשוט עשו לי את היום	paɡˈaʃti ʔanaʃˈim tovˈim vehˈem paʃˈut ʔasˈu lˈi ʔˈet hajˈom
עשיתי צעד קטן והוא הרגיש כמו התקדמות גדולה	ʔasˈiti tsˈaʔad katˈan vehˈu hiʁɡˈiʃ kmˈo hitkadmˈut ɡdolˈa
היה לי רגע קצר של שקט והוא נתן לי מלא כוח	hajˈa lˈi ʁˈeɡa katsˈaʁ ʃˈel ʃˈeket vehˈu natˈan lˈi malˈe kˈoaχ
קניתי משהו קטן ובסוף זה גרר עוד מיליון דברים מסביב	kanˈiti mˈaʃehu katˈan uvasˈof zˈe ɡaʁˈaʁ ʔˈod miljˈon dvaʁˈim misavˈiv
הבטחתי לעצמי להיות רגוע ואז מישהו לחץ לי על העצבים	hivtˈaχti leʔatsmˈi lihjˈot ʁaɡˈua veʔˈaz mˈiʃehu laχˈats lˈi ʔˈal haʔatsabˈim
חשבתי לעשות הפסקה קצרה ופתאום עבר חצי יום	χaʃˈavti laʔasˈot hafsakˈa ktsaʁˈa ufitʔˈom ʔavˈaʁ χatsˈi jˈom
ישבתי לחשוב רגע ובלי לשים לב כבר הייתי עמוק בתוך זה	jaʃˈavti laχaʃˈov ʁˈeɡa ˈuvli lasˈim lˈev kvˈaʁ hajˈiti ʔamˈok betˈoχ zˈe
אמרתי שהפעם אני באמת מתארגן בזמן ובסוף שוב מיהרתי	ʔamˈaʁti ʃehapˈaʔam ʔanˈi beʔemˈet mitʔaʁɡˈen bazmˈan uvasˈof ʃˈuv mihˈaʁti
אמרתי לעצמי להיות רגוע ופשוט נהניתי מכל רגע	ʔamˈaʁti leʔatsmˈi lihjˈot ʁaɡˈua ufaʃˈut nehenˈeti mikˈol ʁˈeɡa
לא תכננתי כלום והיום התמלא בדברים טובים מעצמם	lˈo tiχnˈanti klˈum vehajˈom hitmalˈe bidvaʁˈim tovˈim meʔatsmˈam
נכנסתי לשיחה סתם בכאילו ובסוף יצא דיבור ממש עמוק	niχnˈasti lesiχˈa stˈam biχeʔˈilu uvasˈof jatsˈa dibˈuʁ mamˈaʃ ʔamˈok
היה לי תכנון ברור ואז המציאות פשוט צחקה לי בפנים	hajˈa lˈi tiχnˈun baʁˈuʁ veʔˈaz hametsiʔˈut paʃˈut tsaχakˈa lˈi bafnˈim
ניסיתי לעשות את זה פשוט ובדרך איכשהו זה נהיה מסובך יותר	nisˈiti laʔasˈot ʔˈet zˈe paʃˈut uvadˈeʁeχ ʔejχʃehˈu zˈe nihjˈa mesubˈaχ jotˈeʁ
התעוררתי עם אנרגיות טובות והכול פשוט זרם לי היום	hitʔoʁˈaʁti ʔˈim ʔenˈeʁɡijot tovˈot vehakˈol paʃˈut zaʁˈam lˈi hajˈom
קבעתי לצאת רק קצת והיום הפך למלא חוויות טובות	kavˈaʔti latsˈet ʁˈak ktsˈat vehajˈom hafˈaχ lemalˈe χavajˈot tovˈot
נפגשנו סתם לכוס קפה ויצאה שיחה ממש נעימה	nifɡˈaʃnu stˈam leχˈos kafˈe vejatsʔˈa siχˈa mamˈaʃ neʔimˈa
הייתי בטוח שזה יהיה רגיל ויצא הרבה יותר טוב ממה שציפיתי	hajˈiti batˈuaχ ʃezˈe jihjˈe ʁaɡˈil vejatsˈa haʁbˈe jotˈeʁ tˈov mimˈa ʃetsipˈiti
יצאתי להליכה קצרה וחזרתי עם חיוך גדול על הפנים	jatsˈati lahaliχˈa ktsaʁˈa veχazˈaʁti ʔˈim χijˈuχ ɡadˈol ʔˈal hapanˈim
עשיתי משהו קטן בשביל מישהו וקיבלתי פי כמה חזרה בלב	ʔasˈiti mˈaʃehu katˈan biʃvˈil mˈiʃehu vekibˈalti pˈi kˈama χazaʁˈa balˈev
חשבתי שזה יום רגוע והוא הפך ליום ממש כיף	χaʃˈavti ʃezˈe jˈom ʁaɡˈua vehˈu hafˈaχ lejˈom mamˈaʃ kˈef
עשיתי הפסקה קטנה והיא נתנה לי בוסט מטורף להמשך	ʔasˈiti hafsakˈa ktanˈa vehˈi natnˈa lˈi bˈost metoʁˈaf lahemʃˈeχ
הלכתי בלי ציפיות ויצאתי עם תחושה ממש טובה	halˈaχti blˈi tsipijˈot vejatsˈati ʔˈim tχuʃˈa mamˈaʃ tovˈa
השקעתי קצת זמן ופתאום הכול הסתדר בצורה מושלמת	hiʃkˈaʔti ktsˈat zmˈan ufitʔˈom hakˈol histadˈeʁ betsuʁˈa muʃlˈemet
טלסקופ החלל החדש צילם גלקסיות ספירליות במרחק עצום ממערכת השמש שלנו.	telˈeskop heχalˈal heχadˈaʃ tsilˈem ɡalaksijˈot spiʁalijˈot bemeʁχˈak ʔatsˈum mimaʔaʁˈeχet haʃˈemeʃ ʃelˈanu.
השף הצרפתי הכין פונדו גבינות מבעבע עם צ'יפס פריך וקרוטונים מתובלים.	haʃˈef hatsaʁfatˈi heχˈin pˈondo ɡvinˈot mevaʔbˈe ʔˈim tʃˈips paʁˈiχ vekʁotˈonim metubalˈim.
האלגוריתם המתוחכם הצליח לפענח הצפנה קוונטית בזמן אמת ללא שגיאות מערכת.	haʔaleɡoʁˈitm hamtuχkˈam hitslˈiaχ lefaʔnˈeaχ hatspanˈa kvˈantit bizmˈan ʔemˈet lelˈo ʃɡiʔˈot maʔaʁˈeχet.
הארכיאולוגים גילו בחפירות פסיפס ביזנטי עתיק ונדיר שנשתמר בצורה יוצאת דופן.	haʔaʁχeʔolˈoɡim ɡilˈu baχafiʁˈot psefˈas bizˈanti ʔatˈik venadˈiʁ ʃeniʃtamˈeʁ betsuʁˈa jotsˈet dˈofen.
האינפלציה הדוהרת השפיעה דרמטית על שוק המניות והובילה לקריסת בנקים מקומיים.	haʔinflˈatsja hadohˈeʁet hiʃpˈiʔa dʁamˈatit ʔˈal ʃˈuk hamnajˈot vehovˈila likʁisˈat bˈankim mekomijˈim.
הסופר פרסם אנתולוגיה מרתקת של סיפורי מדע בדיוני ופנטזיה אפלה לנוער.	hasofˈeʁ piʁsˈem ʔantolˈoɡja meʁatˈeket ʃˈel sipuʁˈej madˈa bidjonˈi ufantˈazja ʔafelˈa lenˈoʔaʁ.
הדוגמנית לבשה ז'קט קטיפה בצבע בורדו עם אקססוריז נוצצים ונעלי עקב.	haduɡmanˈit lavʃˈa ʒˈakt ktifˈa betsˈeva boʁdˈo ʔˈim ʔeksˈesuʁiz notstsˈim venaʔalˈej ʔˈekev.
הפיורדים בנורווגיה מציעים נופים עוצרי נשימה של הרים תלולים ומים צלולים.	hafjˈoʁdim benoʁveɡjˈa matsiʔˈim nofˈim ʔotsʁˈej neʃimˈa ʃˈel haʁˈim tlulˈim umajˈim tslulˈim.
הקואליציה והאופוזיציה ניהלו עימות סוער בוועדת החוקה סביב הרפורמה המשפטית החדשה.	hakoʔalˈitsja vehaʔopozˈitsja nihalˈu ʔimˈut soʔˈeʁ bevaʔadˈat haχukˈa svˈiv haʁefˈoʁma hamiʃpatˈit haχadaʃˈa.
הפסיכיאטר רשם תרופה אנטיביוטית ופסיכואקטיבית לטיפול בתסמינים כרוניים של חרדה חברתית.	hapsiχiʔˈateʁ ʁaʃˈam tʁufˈa ʔantibijotˈit ufsiχoʔaktˈivit letipˈul betasminˈim χʁˈonijim ʃˈel χaʁadˈa χevʁatˈit.
גורדי השחקים במטרופולין תוכננו על ידי ארכיטקט מפורסם בסגנון פוסט מודרני.	ɡoʁdˈej haʃχakˈim bametʁopolˈin tuχnnˈu ʔˈal jedˈej ʔˈaʁχˈitˈekt mefuʁsˈam besiɡnˈon pˈost modˈeʁni.
המנוע ההיברידי של הרכב מאפשר חיסכון אנרגטי משמעותי והפחתת זיהום האוויר.	hamanˈoa hahibʁˈidi ʃˈel haʁˈeχev meʔafʃˈeʁ χisaχˈon ʔenˈeʁɡeti maʃmaʔutˈi vehafχatˈat zihˈum haʔavˈiʁ.
